Designator,Mid X,Mid Y,Layer,Rotation
C4020,57.6103,24.8021,TopLayer,0
C4019,57.9503,26.0021,TopLayer,0
C4018,25.7207,18.4767,TopLayer,90
C4017,28.8207,24.8021,TopLayer,0
C4016,29.2207,26.0021,TopLayer,0
C4013,64.027,18.4767,TopLayer,90
C4012,67.2068,24.8021,TopLayer,0
C4011,67.5268,26.0021,TopLayer,0
C4010,35.2973,18.4767,TopLayer,90
C4009,38.4172,24.8021,TopLayer,0
C4008,38.7972,26.0021,TopLayer,0
C4005,73.6036,18.4767,TopLayer,90
C4004,76.8033,24.8021,TopLayer,0
C4003,77.1033,26.0021,TopLayer,0
C4002,44.8739,18.4767,TopLayer,90
C4001,48.0138,24.8021,TopLayer,0
C4000,48.3738,26.0021,TopLayer,0
C3018,53.0811,51.8637,BottomLayer,90
C3017,51.6841,51.8637,BottomLayer,90
C3016,54.3511,52.3589,BottomLayer,90
C3015,47.3987,44.6247,TopLayer,180
C3014,50.5919,46.2249,TopLayer,90
C3013,48.9663,51.8637,BottomLayer,90
C3012,49.6521,43.2023,TopLayer,0
C3011,53.2335,44.7843,TopLayer,90
C3010,52.7835,46.3011,TopLayer,180
C3009,44.8261,44.0151,TopLayer,180
C3008,48.1535,41.3227,TopLayer,180
C3007,51.3793,44.6755,TopLayer,0
C3006,49.2965,45.0057,TopLayer,90
C3005,52.2429,41.5005,TopLayer,0
C3004,49.7283,41.2211,TopLayer,90
C3003,40.4447,43.6341,TopLayer,180
C3002,50.9729,55.7753,TopLayer,90
C3001,45.8095,57.6295,BottomLayer,180
C3000,43.7593,57.6041,BottomLayer,0
C2018,42.7687,67.2307,TopLayer,180
C2017,39.6445,67.2307,TopLayer,180
C2016,47.9757,65.4019,TopLayer,90
C2015,49.7791,66.0115,TopLayer,90
C2014,45.8929,66.8243,TopLayer,180
C2013,40.2033,71.0153,TopLayer,180
C2012,40.2795,68.9579,TopLayer,180
C2011,36.3425,62.2523,TopLayer,0
C2010,37.0029,60.4235,TopLayer,0
C2009,40.978,60.4997,TopLayer,90
C2008,46.3247,75.1301,TopLayer,0
C2007,44.3435,72.6409,TopLayer,270
C2006,50.0077,72.6155,TopLayer,270
C2005,51.5571,72.5647,TopLayer,270
C2004,39.2889,80.2101,TopLayer,0
C2003,39.5027,81.8611,TopLayer,0
C2002,38.7301,75.9429,TopLayer,90
C2001,42.4893,76.3503,TopLayer,90
C2000,40.4065,75.7651,TopLayer,90
C1013,1.7731,89.2271,TopLayer,270
C1012,35.8091,85.3663,TopLayer,180
C1011,35.3519,81.6071,TopLayer,180
C1010,35.7837,83.6645,TopLayer,180
C1009,28.9003,83.8931,TopLayer,180
C1008,19.1467,87.6269,TopLayer,90
C1007,16.7337,88.3889,TopLayer,90
C1006,13.4825,88.3889,TopLayer,90
C1005,31.1609,82.5723,TopLayer,0
C1004,7.8945,83.7661,TopLayer,180
C1003,7.2849,86.1791,TopLayer,180
C1002,4.8211,90.6241,TopLayer,180
C1001,4.0083,93.0117,TopLayer,180
C1000,28.5193,86.8649,TopLayer,90
